upid,LB_BATCH_mu=1.78_S,GLC_BATCH_mu=0.67_S,LB_BATCH_mu=2.3_S,GLC_BATCH_mu=1.03_S
P19930,10.73,212.49,45.09,347.76
P0ACY9,525.19,288.14,829.42,342.79
P32162,122.81,91.29,141.13,113.00
P0AGG4,252.98,148.36,322.33,245.05
P68688,148.46,148.67,123.34,108.49
P0AAV6,35.63,31.58,34.52,6.61
P0ADQ7,6.29,15.34,4.18,5.91
P76164,2.20,139.86,3.99,324.90
P0AFX7,152.53,135.06,170.54,158.72
Q46919,266.01,93.46,223.09,116.82
P0AEH3,74.57,82.76,49.07,71.39
P32685,485.72,93.21,164.80,129.82
P77667,19.68,70.04,11.20,49.82
P0ABJ6,515.56,138.79,615.10,104.01
P0ABR1,180.78,118.45,295.40,149.98
P18393,28.18,112.91,56.95,410.63
P31677,15.85,23.65,4.46,7.32
P0ABG1,106.31,58.88,238.19,145.36
P42599,135.64,62.84,21.85,62.04
P76231,175.05,78.48,197.16,107.44
P0A8C1,53.77,58.98,42.96,33.87
P0A8U0,122.53,67.48,181.98,89.42
P0AD57,51.00,54.60,81.50,76.85
Q6E0U3,101.48,61.11,122.37,86.06
P0AAC6,86.78,52.74,126.58,100.07
P51024,117.48,65.02,97.71,45.58
P0ACX5,48.68,43.10,66.44,68.72
P52094,5.30,49.31,20.73,270.34
P0A8N7,66.31,69.06,158.62,75.21
P69346,54.39,49.75,59.88,48.38
P67699,115.48,53.89,105.41,61.09
Q47679,23.59,45.79,20.50,35.64
P0AEV4,82.21,53.58,147.74,96.44
P0A8D3,56.09,34.47,48.18,46.39
P31466,1.73,50.15,1.67,57.45
P0AE63,2.27,11.65,0.03,3.18
P26281,70.31,63.70,77.70,54.66
P0AFW0,56.60,29.29,68.08,32.88
P0AA95,35.08,43.26,26.47,48.28
P39298,33.10,37.21,23.78,35.40
P28905,72.90,42.43,69.53,41.64
P36566,157.09,29.37,60.10,46.16
P10908,41.12,28.80,27.90,16.26
P0AB12,49.74,36.64,71.24,50.93
P75798,4.07,42.73,6.56,56.82
P0AGD1,0.17,10.48,0.15,2.89
P0A6K1,44.94,30.92,44.26,60.96
P24224,49.04,50.21,48.72,66.96
P52060,42.40,37.70,60.27,42.57
P03813,27.05,33.60,13.92,37.88
P64519,8.36,3.71,2.72,3.85
P76145,4.40,8.64,0.16,2.37
P71229,90.94,39.75,76.98,14.19
P0AFK6,44.81,21.89,65.74,47.05
P0A8D6,12.00,19.57,8.40,15.31
P55734,25.88,32.68,48.15,40.60
P0AD40,55.83,21.86,77.49,29.91
P0AFS3,23.50,25.23,30.22,26.94
P75782,44.14,25.01,45.70,10.68
P37659,13.73,12.35,13.35,22.14
P27247,36.92,29.81,52.93,38.79
P27250,4.27,7.53,8.71,7.98
P77739,12.96,4.25,5.04,3.77
P0AE60,119.25,72.32,46.08,22.98
P77615,30.01,25.70,30.71,40.90
P68739,21.32,17.74,20.13,17.30
P37351,23.41,9.88,29.09,17.97
P28634,47.92,22.25,41.81,33.25
P61887,41.39,22.46,57.39,36.78
P0A8Y8,3.13,22.81,10.36,54.89
P76344,4.20,13.46,7.12,7.17
P0ABN1,16.14,18.08,14.76,18.06
P75931,14.57,16.32,9.73,18.91
P0AG03,9.89,10.91,15.00,19.08
P32173,9.75,13.71,10.10,17.03
P76342,1.79,6.11,2.81,23.13
P76001,14.09,8.36,11.27,6.32
P0ABT5,12.57,11.62,23.77,20.57
P39451,9.15,4.99,14.43,11.83
P15067,8.06,20.10,3.27,16.04
P0ACS9,30.98,13.03,37.34,18.96
P77554,20.03,12.87,21.07,17.53
Q8SU19,22.06,16.47,26.20,25.69
P64463,40.94,37.72,10.52,9.43
P0A6S5,15.71,11.15,29.42,19.50
P0A8P6,0.38,15.77,12.65,22.83
P75820,12.33,15.20,4.66,7.34
P06966,14.84,15.29,15.92,13.71
P76350,0.49,8.86,2.23,12.11
P0ACU0,11.61,12.93,12.84,7.38
P0A823,38.83,29.44,40.09,52.56
P69490,26.19,22.13,35.31,25.10
P31550,41.53,9.97,58.62,16.91
P76194,2.47,2.58,0.45,8.76
P0AFF0,45.18,4.42,94.88,30.16
P12282,21.87,9.72,28.89,15.19
P0ADP7,16.60,7.11,18.22,14.93
P28632,38.52,12.16,34.34,31.97
P67660,13.47,14.70,7.84,11.62
P31433,14.33,11.93,23.39,15.73
P76112,0.01,8.33,0.01,10.94
P0AC16,195.98,94.79,163.54,7.47
P76245,7.01,9.93,1.16,1.77
P0A6V5,42.68,21.77,46.36,29.03
P19636,13.46,11.38,28.98,10.84
P0ADG1,22.71,9.94,100.58,612.25
P09099,3.21,4.75,2.43,6.80
P0AAT4,13.94,5.59,24.81,16.41
P0ACS2,30.14,11.27,22.85,8.97
P0AF63,13.02,7.01,35.67,25.14
P0C0K3,10.58,6.88,11.07,10.20
P25534,25.60,10.03,17.24,13.63
P37182,16.57,8.16,12.47,9.97
P0AEF0,12.69,15.44,21.97,12.89
P24173,24.90,10.18,28.98,15.76
P28903,8.34,3.19,7.93,2.06
P77295,25.50,13.12,17.28,16.92
P76086,15.44,11.05,18.64,8.84
P37146,2.10,10.06,3.75,18.63
P76223,4.44,7.22,7.40,15.72
Q5H772,0.01,4.52,0.01,0.00
P76062,1.57,1.12,0.71,24.36
P21363,1.07,2.11,0.46,1.35
P0AEF8,2.44,6.61,0.01,34.88
P32719,5.07,13.03,6.56,11.54
P0A8D9,4.38,7.34,8.02,3.95
P76149,5.40,5.56,5.42,6.66
P64490,7.99,3.26,6.74,1.52
P0AE45,10.80,4.96,34.43,21.22
P0AEI6,12.41,8.49,15.26,6.34
P77570,14.37,12.08,10.29,13.83
P33231,61.50,6.62,71.07,25.29
P09391,20.29,9.07,27.83,15.03
P24207,9.05,3.86,40.49,27.26
P0AG76,8.91,12.47,16.45,9.77
Q7DFV3,18.34,9.82,8.87,24.86
P0AFK2,0.03,1.27,0.03,7.23
P76076,8.46,6.60,16.77,10.61
P0A921,12.19,7.33,14.38,7.33
P45468,0.56,6.72,2.27,8.32
P75821,8.82,6.19,15.13,12.26
P0AC78,16.44,3.43,32.70,15.31
P0A8R7,2.87,6.58,3.33,11.16
P08368,5.85,4.49,3.17,8.21
P0ACM2,10.92,0.65,16.61,8.29
P15286,11.94,5.71,17.00,12.42
P09126,13.45,8.02,12.19,10.00
P0AD65,4.30,3.96,12.19,11.63
P0AEC0,11.95,11.56,13.05,11.20
P0AGK1,3.94,1.82,7.42,1.90
P0AEV1,2.34,2.73,2.03,2.07
P0A8S9,31.43,16.72,41.25,25.84
P27859,7.92,7.17,17.57,7.45
P30847,1.89,4.09,3.35,14.33
P04128,72.80,8.84,22.93,14.88
P37052,5.25,6.39,4.00,3.85
P76422,32.42,2.94,23.73,6.15
P0AFK4,6.64,3.64,9.59,8.29
P0A9T8,2.82,2.27,1.96,2.93
P0AF56,15.65,9.94,14.64,17.23
P75746,9.36,11.74,4.98,13.95
P76272,4.73,2.73,6.93,7.38
P25741,9.06,5.98,6.66,2.85
P77398,4.11,4.97,2.57,2.19
P0ADI7,0.50,2.41,1.99,4.10
P22525,2.26,1.77,0.09,1.15
P52644,2.03,0.27,38.17,0.46
P75779,3.03,4.14,2.39,5.09
P60955,3.97,2.06,8.47,12.77
P0AC23,5.36,1.04,6.39,4.85
P77649,5.42,3.72,6.23,4.57
P39161,4.89,4.85,5.55,5.92
P33371,6.26,3.34,6.27,3.46
P32675,4.72,5.28,7.05,6.92
P27127,6.98,3.62,18.60,10.59
P24193,7.73,2.94,2.77,3.02
P39408,4.01,5.20,4.98,3.25
P75767,4.60,3.93,4.84,4.49
P23878,0.99,8.82,6.39,39.94
P64562,3.42,8.55,4.37,5.27
P64585,1.00,0.43,0.77,0.53
P31680,3.37,0.83,5.87,2.82
P0ABS5,10.41,3.47,15.08,8.17
P0AEY3,2.48,2.19,2.57,4.52
P15031,30.29,1.58,44.34,2.02
P0AE14,0.96,0.51,3.81,3.18
P18392,1.64,1.85,1.61,9.64
P26649,12.04,2.74,26.50,4.32
P0ABJ3,2.06,0.01,0.34,4.89
P08337,5.71,3.53,4.20,2.40
P07821,3.31,3.60,7.95,5.77
P76466,9.09,2.62,8.83,5.01
P0AFU4,6.03,1.85,6.07,3.89
P39835,1.18,7.26,1.64,8.21
P42604,7.98,1.69,9.83,5.69
Q9JMR7,3.73,2.21,2.72,1.43
P27240,8.46,1.73,16.89,5.04
P33941,1.24,0.82,3.43,6.21
P0ABF4,19.58,1.92,8.59,0.05
Q47689,0.01,2.04,0.01,6.35
P0ACX9,1.45,8.54,5.88,9.05
P0AA41,4.74,1.95,5.56,2.27
P33025,30.23,8.57,2.24,2.41
P77690,3.22,1.53,3.88,2.30
P02924,21.33,1.47,1.64,4.03
P23477,3.59,1.60,2.74,1.55
P52062,1.11,1.13,0.86,0.71
