upid,LB_BATCH_mu=1.78_S,GLC_BATCH_mu=0.67_S,LB_BATCH_mu=2.3_S,GLC_BATCH_mu=1.03_S
P39831,1794.85,1989.90,1182.74,1624.91
P0ADK0,1785.25,1152.99,2091.65,1442.51
P0AC59,405.27,942.58,445.78,649.85
P76576,2140.38,1226.88,2628.76,1654.89
P0AFU8,1226.47,1357.09,1122.88,1290.66
P0A8W8,1107.89,1192.66,1111.63,1316.62
P0AF24,1265.24,1124.97,1368.78,1189.07
P0AAC0,847.09,696.12,471.72,578.06
P60651,2080.93,993.89,1601.36,1151.97
P00935,111.20,715.86,41.20,594.24
P0AFM2,9797.81,483.42,5367.74,170.39
P75960,812.88,769.27,831.50,1008.89
P12281,510.41,676.48,523.38,547.28
P0ADF8,279.12,587.02,269.18,461.19
P22255,578.44,515.24,576.96,601.02
P0ABI8,1100.80,523.86,1642.32,884.92
P37760,1283.23,626.42,53.68,94.61
P0A8A0,1376.59,698.62,1253.41,770.68
P07639,552.61,561.28,574.68,846.09
P36649,118.27,494.27,110.60,620.55
P37665,1891.13,684.87,4378.32,1115.67
P75838,782.81,507.48,1279.29,941.37
P0A7Y0,713.16,637.36,1191.80,687.98
P68066,2318.54,641.11,721.45,1537.36
P42641,913.02,467.57,1155.58,603.85
P45799,484.33,511.55,665.26,704.91
P0A9L8,485.84,439.30,599.29,435.66
P30011,441.49,509.68,324.03,425.96
P0AFD6,1344.16,495.03,1847.57,764.79
P08390,439.45,372.21,664.52,465.07
P0ABH0,389.16,344.50,472.48,449.49
P0ADT8,448.33,347.70,278.30,469.79
P0AEN1,864.21,456.99,841.51,557.91
P0AG80,55.65,387.35,47.83,291.04
P67080,587.05,409.04,694.83,474.82
P77444,133.68,291.01,100.94,256.08
P0A988,519.61,324.53,554.97,339.67
P11458,33.80,350.80,34.17,383.38
P11880,371.61,388.82,593.56,495.86
P37773,514.70,341.29,536.04,330.43
P0A8V6,568.46,360.30,565.23,449.86
P69874,345.29,302.96,392.26,305.50
P09053,156.10,385.38,192.34,298.79
P0AD12,151.32,220.43,137.72,196.00
P39286,315.27,216.24,186.14,221.61
Q46857,244.73,127.63,358.19,67.25
P77522,54.62,180.77,70.66,198.20
P75863,279.15,246.65,106.77,170.59
P69805,110.77,111.32,176.72,398.31
P39377,397.11,189.73,584.14,405.07
P32695,264.00,147.29,292.71,149.96
P77689,29.25,111.42,36.24,126.71
P07913,2391.06,118.78,1509.90,177.56
P07109,17.53,183.72,34.68,462.72
P0A9G8,298.98,170.08,316.71,219.33
P0AAG0,85.02,269.94,28.14,258.66
P77258,215.89,109.06,220.43,152.10
P0AEW6,245.37,139.00,322.40,178.98
P23827,2140.80,65.57,2487.21,67.27
P0AED7,140.11,104.08,283.02,222.04
P0AAH0,154.83,96.52,252.47,104.90
P13979,157.14,100.21,7642.68,6639.03
P18956,85.43,30.44,77.07,35.10
P08194,999.81,50.81,510.14,52.83
P0A761,2024.61,48.56,2795.37,97.23
P76027,172.65,493.55,70.02,105.61
P25888,78.55,27.46,127.60,72.85
P45425,1094.30,76.77,1601.77,61.44
Q47146,30.33,3.57,15.84,19.03
P46889,35.34,14.04,72.03,77.29
P29744,369.76,322.87,1217.80,819.42
P24216,111.40,77.59,277.67,332.32
P0A996,199.43,10.66,35.49,8.07
P07330,203.08,104.08,222.49,157.16
P0A7U3,42645.43,24670.48,54778.20,33447.92
P0A7F3,349.10,21226.63,286.82,697.58
P0AG86,27552.82,12363.27,22808.89,13361.67
P0ACD4,8454.98,8062.61,8358.63,10224.07
P61949,11323.11,7830.55,11618.23,8444.81
P0A800,13336.06,8515.53,15036.73,10536.92
P0A7M9,44768.56,10399.33,29344.93,9350.07
P0AEU7,11332.51,9611.78,12511.18,8695.41
P02413,17570.10,6473.81,31618.99,16988.94
P69222,9654.39,6477.63,12186.15,6663.75
P0A9A9,7224.92,4380.69,7805.69,5300.17
P37188,12599.18,3668.18,759.31,2967.45
P0AFP6,3434.68,3861.40,2368.78,2613.20
P0A9L3,7089.30,4032.96,6776.76,4967.29
P0AGD3,16898.12,5516.05,14162.77,7398.47
P0A9M5,4071.12,3099.91,6131.76,4268.17
P0AGE0,6951.67,3740.02,8863.98,4059.65
P69503,3952.39,2473.27,4318.22,3164.69
P0A998,5313.34,2435.06,3606.34,3327.77
P0A734,3720.07,1845.75,3042.58,2122.01
P24251,240.37,136.40,2117.92,1734.05
P0AFY8,3386.89,1886.84,4251.15,2324.63
P31063,1433.08,1396.70,1447.70,1528.37
P39199,1141.90,1111.46,1198.42,1052.40
P65556,1861.35,1434.84,2213.69,1422.71
P09158,724.55,1276.26,814.10,843.95
P27434,1276.85,946.97,1491.98,1404.83
P0A6P7,1549.52,1132.92,1375.15,984.39
P0A6I0,1608.17,856.70,1870.56,933.19
P0ACR9,1005.82,900.69,993.96,1159.12
P0ABU7,704.73,1014.64,1487.34,1453.76
P0AE88,721.43,714.65,788.65,908.73
P0A8H6,1167.69,900.46,1771.88,1262.55
P0A780,1489.26,898.29,2384.91,1580.13
P0A746,1093.92,636.34,897.29,648.55
P0A9E5,1951.81,881.71,1898.14,1339.61
P64451,406.13,407.65,268.72,309.90
P0A7E9,502.50,660.18,823.14,429.49
Q46845,246.97,406.17,105.56,281.32
P0A7C2,746.28,602.30,783.76,832.67
P28304,322.00,345.84,206.88,272.99
P0A9D2,353.72,553.25,300.46,441.10
P0AD05,416.96,542.46,403.64,448.39
P69425,1112.17,687.30,1258.74,783.57
P0ABV2,478.27,694.99,683.97,690.64
P0AEY5,562.56,596.68,589.19,447.46
P0A8S1,289.29,529.72,258.63,522.35
P0ADU2,652.33,588.79,508.05,447.34
P39177,891.66,387.50,795.44,278.37
P75957,636.11,446.00,523.58,597.02
P0A7F9,607.29,358.20,911.79,550.33
P0A8W5,463.18,339.75,481.12,330.06
P33643,270.65,203.32,264.43,175.48
P09029,90.48,298.27,38.09,547.48
P37749,598.43,376.74,53.43,33.20
P45395,238.82,285.96,274.83,348.90
P69831,10.38,5.49,25.31,10.89
P76055,418.58,389.36,500.62,510.56
P27848,440.46,311.87,419.30,283.42
P0A6S7,765.67,302.11,841.15,422.06
P07024,165.36,208.70,158.55,184.42
P39406,324.81,227.54,344.93,269.45
P0A8T1,413.02,184.27,824.98,406.28
P75823,381.09,261.40,307.06,247.07
P31060,25.85,188.79,52.62,214.25
P15047,40.80,186.31,109.77,276.53
P0AFB8,94.70,185.27,93.38,194.67
P06983,356.15,216.22,464.39,243.29
P29131,225.79,146.58,253.91,184.69
P0AES0,65.39,143.62,48.44,116.38
P24203,286.35,119.93,383.45,157.54
P36548,168.04,105.42,196.67,209.21
P0A894,108.89,132.90,130.59,174.34
P00803,128.70,76.73,207.35,166.77
P27828,138.04,106.38,250.49,167.62
P0A821,32.52,105.34,62.79,172.37
P19926,505.00,86.11,140.15,63.31
P27829,251.29,93.18,344.51,172.30
P69811,286.58,110.47,254.83,115.97
P00892,17.43,63.49,103.89,1187.53
P07003,5.38,26.19,3.74,10.31
P32131,113.91,104.44,180.76,155.76
P10378,20.71,79.77,61.47,203.56
P39342,17.19,30.20,17.07,39.03
P0ABB8,159.13,60.61,105.90,21.05
P0ABX8,1130.64,712.37,1081.35,920.36
P77552,181.06,36.50,123.15,34.95
P24554,54.38,47.14,105.21,134.55
P02919,67.47,39.11,118.31,120.91
P69451,81.58,41.12,103.21,51.89
P23886,80.89,39.24,91.80,110.19
P41409,691.66,41.86,380.34,80.84
P24202,111.43,66.53,132.91,92.62
P21169,32.38,53.36,17.92,94.18
P0AC47,1008.75,128.91,432.36,45.19
P22564,1084.07,46.11,562.01,114.91
P0AE82,38.78,32.81,42.11,68.39
P0C058,539.59,25.87,58.03,19.73
P37617,70.51,15.68,65.36,14.69
P10030,15.26,11.08,411.65,327.19
P31828,9.34,15.88,18.07,16.77
P0AG24,18.13,10.07,40.31,31.10
Q9JMR6,20.66,14.15,294.15,249.22
P39325,69.46,16.64,19.21,32.99
P39396,319.22,14.08,544.27,43.45
P76621,111.44,11.18,62.36,8.33
P69776,55326.73,50175.44,55956.55,47575.10
P0AED0,32953.58,36295.26,16451.17,17740.05
P77214,467.26,25403.64,474.30,48889.76
P68679,63839.17,29336.86,76766.86,37106.62
P0AA25,25130.93,23955.59,29577.38,26581.13
P0A6N4,26803.84,17333.46,37515.43,20418.32
P0A6F9,31514.06,15451.43,27898.32,18708.40
P0AG51,20735.28,11381.44,28624.04,13898.88
P0AG48,14092.94,7433.58,23664.24,11905.65
P0AF93,7621.29,6927.99,9182.32,2105.65
P0A6Q6,7145.35,4192.97,6360.99,4756.80
P0A6X7,3726.00,3470.07,3425.74,3280.43
P0A7S3,6946.82,3958.18,8423.49,5783.79
P0ACX3,1929.73,2831.11,1073.22,1567.38
P0ADP9,3015.15,3154.08,3744.95,3578.00
P69428,3276.97,2625.67,4404.92,2925.60
P0AG27,3583.56,2059.74,4003.12,2277.80
P0A8A2,3210.27,1860.94,4417.54,2298.51
P41407,785.93,1685.57,583.51,1664.28
P0A6Q3,2064.06,805.87,1370.92,706.25
P0A6X3,2329.69,1643.26,1620.67,1405.61
P60595,374.24,1274.45,339.62,2212.46
P75874,1053.93,1004.34,939.95,998.26
P77529,129.16,895.56,220.86,2511.18
P23869,1793.50,1631.53,2049.07,1378.91
Q46868,981.32,932.40,1077.99,1405.32
P0AFV4,59.29,1232.59,26.15,1345.48
P77625,1317.11,1044.21,1603.69,2059.36
P0ADV1,1256.09,926.44,1415.65,933.31
P0A6E1,242.15,909.17,266.04,1852.25
P0A8U6,976.74,920.63,1184.81,879.21
P27431,724.60,664.00,655.13,768.33
P0AAR3,828.16,696.73,951.14,700.66
P0AE67,24745.12,15096.73,23534.51,16762.62
P60546,919.95,508.20,1078.74,508.02
P0AD10,1370.51,824.43,1877.54,1604.91
P0A7D1,887.12,606.22,1299.99,653.58
P0A884,975.29,558.05,1453.28,1087.84
P0A784,622.78,511.92,644.27,479.31
P76113,91.90,116.13,28.07,38.31
P0AGA2,633.17,322.76,1141.72,656.35
P45579,15.00,273.86,21.02,411.32
P0C054,1980.92,366.12,654.07,336.18
P25894,516.64,299.29,410.73,308.89
P0ADC1,424.69,311.83,624.69,524.96
P0AEQ1,3612.29,142.18,292.52,164.23
P0ACU7,167.53,202.27,143.93,197.91
P33362,37.53,67.86,10.39,25.85
P21829,477.47,332.28,580.93,448.35
P77754,121.85,237.70,77.58,661.71
P0AFI7,205.06,292.81,151.27,268.13
P62623,589.70,220.22,741.87,409.16
P00887,126.08,246.58,154.60,277.99
P0A6U5,329.75,238.77,555.49,290.73
P0A6U8,97.90,118.80,92.77,261.60
P15770,251.15,234.31,339.75,334.97
P0A8X0,349.78,195.64,520.64,284.76
P06992,370.93,196.79,463.14,246.77
P29745,122.45,149.52,97.44,90.93
P0AC13,344.94,245.99,382.38,181.01
P31808,172.69,166.55,213.90,227.26
Q46920,232.30,162.88,344.57,240.67
P69228,95.34,150.17,99.53,157.94
P0ADS9,182.90,127.10,275.54,160.05
P75736,194.52,351.43,230.70,348.29
P0ADA3,154.37,130.76,197.73,145.02
P77544,9.89,74.77,10.14,37.91
P0ABQ0,215.95,100.08,372.35,235.83
P25906,116.94,64.25,41.32,49.95
D0EX67,194.96,117.01,254.55,180.96
P37005,197.28,119.35,236.72,133.71
P24188,121.82,126.67,228.90,213.08
P0A725,75.22,76.84,92.08,95.80
P0AFF2,397.79,86.61,1080.89,354.68
P0AB43,118.89,92.69,108.49,160.01
P64588,145.06,123.06,180.03,146.17
P37648,170.51,106.85,271.63,159.19
P75914,124.58,125.47,120.19,128.04
P22731,34.19,178.64,23.13,137.75
P66948,107.45,115.95,65.59,124.32
P0AED5,166.25,116.38,226.59,207.14
P0ACP1,158.58,92.50,172.49,175.59
P77485,11.60,72.37,14.21,190.70
P17443,83.66,69.23,158.11,144.70
P32684,116.05,90.61,187.35,240.91
Q5H777,27.40,113.74,8.05,50.32
P76298,141.36,127.22,251.42,293.16
P0AAD6,2031.20,71.26,3600.89,99.85
P40120,74.26,64.34,70.04,136.67
P27303,109.03,73.87,186.51,104.38
P10902,53.78,95.15,57.79,93.55
P0A9B6,88.66,108.72,97.09,99.29
P21151,308.85,20.71,105.09,58.37
P22634,120.11,71.33,147.97,77.37
P0AE22,2449.59,50.12,1035.60,53.82
P05637,61.44,44.40,81.11,58.40
P0AC86,23.20,47.93,17.06,53.33
P39838,36.09,27.19,38.13,45.65
P76535,137.69,29.79,94.93,54.13
P39371,137.98,9.79,95.95,21.79
P23871,69.89,27.50,161.14,73.56
P37177,26.55,27.46,20.00,32.17
P05706,2131.77,62.62,681.77,34.01
P37646,287.79,189.48,484.65,239.43
P36928,34.77,30.28,124.35,55.11
P29012,449.14,20.93,318.58,41.00
P0AF06,206.15,107.85,235.99,162.85
P21514,281.95,26.30,51.54,12.95
P75682,355.11,17.18,2.62,5.75
P0AAJ5,410.75,15.24,290.28,17.02
P31068,403.64,216.77,388.14,354.26
P39267,197.11,146.15,259.56,178.97
P00805,56.50,14.48,70.58,22.84
P77674,16.37,3.35,5.07,5.37
P16869,1.77,12.24,3.67,29.36
P0ACF0,299798.16,167069.67,311206.63,189518.89
P0A7T3,146097.83,71959.55,173697.02,96388.25
P0ACF4,68151.32,52363.75,70925.40,57528.54
P0ADZ4,80524.35,43051.86,79575.07,54061.01
P0ADY7,80303.03,36202.90,129728.44,64602.86
P0A7U7,57237.38,31221.87,78403.63,44365.77
P0A972,38897.08,17923.19,46249.47,25445.51
P0A7R9,17867.74,9499.67,26385.96,13018.26
P64581,3493.70,3674.35,2750.86,2702.31
P0A6G7,9080.41,6694.61,7578.50,6980.87
P0AF36,12348.96,7811.50,10058.90,7622.01
P0C018,11542.06,6130.63,13766.36,7932.15
P0AC69,6033.71,6278.55,6343.50,5244.02
P0C0L2,1330.35,2530.93,762.60,708.44
P25738,614.30,1113.09,646.95,537.32
P0A8J4,10791.25,5152.14,8302.82,7996.02
P0A955,3858.13,3058.95,3351.77,3399.27
P0A7L3,6378.70,2543.38,14556.85,7868.92
P0AG18,313.55,2595.40,447.24,3445.82
P0ADB1,995.47,1126.69,750.37,422.86
P0ADA5,3157.74,2225.68,2661.89,2481.92
P0AEB7,1771.40,1831.78,1463.11,1822.15
P0AD49,7208.76,1568.13,4155.41,2002.23
P0AAC8,2139.61,1193.15,2148.51,2081.02
P0AC81,1504.28,1253.23,1726.71,1774.69
P33219,141.05,262.59,31.90,100.59
P0ADU5,396.01,169.60,273.50,121.16
P0A927,7632.40,1348.47,8521.48,1428.60
P0A9L5,2021.49,1271.42,2505.81,1712.59
P00960,1877.02,1183.01,1783.54,1358.51
P62617,1579.85,916.06,1771.75,1157.21
P0AGE6,1085.88,833.82,712.29,571.16
P77173,1284.69,986.73,1636.78,1235.90
P76270,679.79,790.73,547.02,744.12
P0A968,11003.23,994.51,1436.76,908.47
P0A6J1,82.43,656.85,186.98,954.42
P21367,97.58,130.99,55.54,118.89
P64596,926.69,757.10,643.58,645.73
P0A8A8,1255.54,730.61,1518.01,921.03
P0C0S1,146.11,173.09,272.96,279.44
P0AFR4,837.15,519.50,1016.97,533.54
P32662,766.15,649.89,994.83,720.83
P04391,39.16,601.17,29.42,417.38
P06610,300.90,333.26,297.72,282.72
P69829,793.06,612.74,953.19,681.41
P0A744,290.37,414.74,233.63,295.79
P64534,824.58,500.67,1376.03,622.79
P64530,86.21,421.59,91.43,430.15
P0AAF6,613.47,381.12,629.44,821.66
P52061,665.94,427.27,877.72,663.96
P0ACP5,823.63,716.43,750.37,587.09
P10346,633.15,508.80,310.71,733.39
P37647,1381.28,580.85,787.53,398.59
P37643,66.22,410.06,117.65,976.50
P0A7B8,1134.61,406.62,1239.92,648.32
P0AFZ3,804.97,433.85,1151.49,540.99
P45748,573.42,371.91,843.50,654.06
P13000,38.99,285.49,16.93,172.68
P0AE01,770.05,390.03,884.16,535.67
P0AE85,61.84,172.22,64.15,424.77
P65870,690.10,338.95,936.24,306.02
P0C0L7,198.24,247.81,205.41,134.38
P76002,123.27,194.47,163.99,164.26
P76506,639.71,318.83,632.12,268.91
P0A738,162.15,186.86,257.54,182.68
P03841,1613.82,334.24,59.03,71.90
P0AFC7,921.14,225.71,1149.88,378.62
P0ABJ9,534.40,190.76,765.52,344.26
P0A9F1,244.50,254.64,292.52,270.69
P0A9R7,211.73,203.47,346.94,380.42
P0AFX4,176.72,205.36,184.21,216.69
P0A8A4,319.65,228.10,276.58,222.27
P0AET8,122.43,78.35,70.40,55.12
P46853,197.29,138.58,186.49,175.86
P0A832,258.37,195.20,272.71,222.97
P61316,318.42,210.28,331.48,196.61
P0AFJ7,187.73,160.47,326.63,313.52
Q93K97,252.07,252.40,328.01,355.99
P0AGB0,191.42,214.26,308.42,399.34
D9IX93,49.50,189.69,30.38,181.34
P39310,200.23,202.91,164.39,164.52
P62615,143.63,181.51,197.39,241.31
P45424,1254.36,212.29,1851.23,138.74
P0ADV5,257.93,128.13,252.47,106.83
P0ADP0,124.39,167.82,112.86,167.87
P17445,207.78,100.25,272.66,100.62
P64554,340.11,148.69,499.80,224.79
P77475,433.71,166.62,367.83,296.85
P0A9T4,122.81,110.60,67.69,79.04
P52108,208.56,202.74,150.68,236.52
P0A9H1,136.09,133.27,124.57,127.78
P25397,105.95,152.42,71.29,76.12
P0ABU9,152.86,101.05,258.38,311.78
P23003,216.23,136.46,223.32,135.09
P19624,155.88,120.56,121.04,110.73
P0A935,324.11,126.97,322.24,189.45
P76290,165.69,135.78,277.58,184.73
P0AAB4,364.97,108.47,421.78,209.44
P0AF03,386.24,154.73,397.33,193.50
P31802,397.05,142.42,422.95,200.39
P04982,382.97,106.92,1684.71,913.87
P14900,181.60,122.83,214.55,160.19
P76491,109.63,117.05,102.29,155.99
P21645,204.87,146.21,301.00,160.62
P37765,285.71,112.26,266.78,157.79
P0A812,120.01,79.84,166.14,182.79
P0AG00,237.16,91.45,199.84,156.68
P0ADQ2,118.72,90.89,71.13,66.80
P0ADP2,112.85,109.03,284.22,176.15
P0AEL6,45.95,74.44,84.89,144.66
P27249,172.08,91.77,226.44,119.45
P0A873,197.39,98.85,316.46,125.12
P77434,98.47,79.51,110.94,104.70
P0A951,75.20,83.01,125.12,114.63
P0AEM4,871.80,889.15,383.75,1206.91
P0A6G3,114.46,82.34,76.73,108.21
P0AC30,80.11,70.24,147.99,137.99
P0ACI0,66.98,59.84,66.33,52.74
P23883,8.06,105.77,15.18,21.59
P46852,56.46,85.39,43.34,53.89
P76034,112.55,94.45,126.25,167.36
P77808,121.81,96.58,165.50,109.25
P36879,128.15,61.94,166.76,89.61
P26612,24.06,26.44,10.59,17.31
P0AF20,122.39,80.58,117.95,93.54
P20099,227.06,80.23,180.95,78.96
P76397,25.19,46.20,15.79,67.40
P0A9S3,131.76,45.00,33.88,39.39
P42596,110.90,37.25,269.38,93.67
P77348,128.60,37.65,107.08,43.17
P77150,171.61,71.35,178.51,87.71
P40191,117.95,50.73,62.56,40.62
P0AFQ7,36.07,31.76,65.06,51.50
P0AG20,37.46,25.22,73.62,51.55
P22939,71.94,43.35,49.15,35.72
P0ADF6,30.83,61.63,28.28,141.22
P21893,34.81,25.26,68.25,50.55
P09148,199.68,27.24,263.45,73.89
P12998,4.90,32.12,3.20,27.90
P27830,104.72,40.30,119.99,47.34
P29018,43.13,19.27,50.28,75.66
Q46851,139.35,19.77,66.23,41.69
P62517,30.03,30.37,36.10,41.10
P0CB39,35.79,25.21,63.52,61.00
P37690,34.24,21.40,48.28,36.06
P17115,85.69,27.28,48.91,35.25
P0A6S0,1027.12,733.97,622.56,747.85
P0AGI8,40.75,9.38,97.58,41.18
P0A7B1,8.96,9.59,22.82,27.76
P39265,177.90,21.25,145.79,27.54
P0A830,326.11,28.29,238.18,16.61
P75829,32.22,15.89,80.99,43.20
P06710,21.19,14.58,33.90,24.72
P42626,46.78,12.79,67.82,22.01
P42593,23.62,9.40,20.36,9.62
P77182,14.40,7.99,19.21,15.52
P39829,284.29,15.25,43.76,9.32
P27242,40.28,8.92,90.89,39.55
P07363,108.97,90.02,118.30,108.15
P76578,5.28,3.24,6.40,4.85
P0A9S1,139.79,12.89,34.82,12.17
P62556,14.16,8.63,295.85,218.58
P06282,31.40,6.76,34.74,11.85
P76503,9.82,0.67,3.37,2.49
P76104,21.57,1.99,25.29,3.80
P11349,13.00,3.54,5.70,1.73
P96329,2.34,0.80,19.94,12.77
P69922,21.18,1.23,12.27,0.75
P0A9Y6,113886.94,63828.39,67473.63,57451.65
P0A7M6,102332.12,46878.64,122744.84,57324.86
P0A7N4,66990.39,30574.44,80931.96,43635.82
P0A6A8,53954.99,32759.84,41076.93,26325.57
P0A7T7,54793.67,30457.08,68807.93,38157.69
P0AA04,16004.94,22357.98,16645.57,26338.21
P0A7L8,50679.38,23050.93,65564.94,33719.71
P0A7N9,34276.12,18937.68,47551.50,25591.70
P0AG59,20282.16,9684.63,23956.29,11693.09
P75694,630.15,975.82,188.84,356.90
P0AG63,17289.24,6301.03,12902.92,4744.31
P0AC62,5733.00,4244.46,6941.05,3580.72
P69913,2915.24,1789.55,2890.76,2669.95
P76569,2336.09,2284.76,1979.00,3572.22
P0AB14,1256.83,651.90,260.28,374.97
P0AFX0,1520.61,2121.70,959.57,1281.96
P0ADZ0,3464.79,1589.24,4889.53,2482.76
P0ACE7,2080.80,1659.59,2916.62,2249.05
P06989,317.35,1469.07,391.23,2541.12
P64506,1456.60,1319.49,1275.96,1405.48
P0AB52,2320.65,1551.90,1825.86,1778.61
P0AGJ7,209.46,1311.63,214.87,737.03
P0AD59,460.90,1031.63,279.69,582.55
P0AC55,31.10,1071.54,36.06,447.46
P0A9Z1,1377.11,1197.69,1317.68,1057.20
P0AB28,1332.30,968.48,1496.67,923.20
P64540,1446.58,1273.22,1910.92,2814.36
P0AF67,652.82,674.66,1018.46,933.92
P0A722,1120.60,790.14,1577.48,1269.06
P0AB38,435.58,625.72,1080.24,741.18
P0A8R0,686.24,683.92,720.93,767.38
P75849,546.46,551.23,440.32,543.45
P67095,841.04,622.08,953.46,580.58
P75915,627.04,596.71,722.24,793.29
P0ABE2,485.88,399.08,577.16,252.54
P23894,792.73,600.98,864.90,1057.59
P0ABU0,631.19,432.96,609.95,496.21
P52643,594.85,421.66,607.41,561.92
P0AB26,680.75,386.09,837.12,389.14
P30749,522.75,349.24,507.11,341.70
P32664,676.67,425.80,955.87,591.27
P0ADX1,357.50,551.11,269.76,398.41
P0A8W2,347.87,402.38,556.15,488.69
P0A962,414.08,358.06,363.47,380.19
P0AEM0,748.91,456.97,763.00,445.57
P0ACA1,179.57,246.12,180.59,293.92
P0A8I5,704.71,371.49,924.89,498.87
P0AAS7,274.85,355.83,319.58,365.24
P0AF50,444.00,382.54,349.98,313.63
P37745,870.34,446.44,5.28,31.39
P0ACE3,276.12,334.29,357.28,474.90
P31658,110.69,113.73,55.26,51.73
P67603,479.98,383.88,669.20,461.66
P0AGG8,267.17,199.98,275.76,234.13
P0AGB6,307.90,303.31,396.71,407.61
P36680,369.86,285.63,593.73,429.02
P63228,275.57,286.45,247.99,201.52
P0A759,667.09,180.62,733.54,217.00
P0AGG2,224.06,127.43,214.58,121.34
P10100,272.10,243.32,263.46,262.52
P76193,25.92,88.67,18.39,70.45
P64483,314.12,408.84,231.34,195.88
P08179,56.19,144.90,75.15,459.01
P0A729,159.02,209.40,42.24,80.48
P0A7I7,339.06,195.94,421.55,233.53
P0AC84,238.40,203.60,186.58,170.32
P76187,289.56,175.97,180.91,169.20
P0ABQ4,386.66,248.95,404.03,296.01
P77756,397.70,250.32,282.16,246.08
P0AAT9,86.13,82.75,60.72,72.61
P0C0R7,455.80,215.00,547.59,381.45
Q47150,279.95,247.74,257.52,227.42
P0ABI4,279.69,130.20,458.27,209.55
P64455,286.85,273.76,312.77,190.63
P0C079,240.16,185.39,320.07,214.25
P39315,80.18,84.21,104.41,133.16
P34209,129.97,161.57,93.04,216.42
P0AGL7,192.97,194.46,285.45,220.93
P0A8W0,216.45,166.39,246.95,194.26
P0A720,199.27,146.47,112.33,184.85
P0A8D0,183.22,139.14,190.56,161.17
P0A7A5,194.29,178.93,229.50,153.32
P32680,274.87,187.65,333.29,189.85
P0ADA1,135.47,173.62,80.16,108.69
P76243,37.00,103.68,55.11,76.96
P0AGF2,148.72,141.12,196.63,190.22
P12995,22.11,118.57,23.56,103.84
P02929,90.97,120.22,175.09,209.49
P77202,160.05,116.25,313.80,190.30
P27838,217.53,161.44,364.32,301.82
P15078,364.17,83.02,89.11,224.19
P0ACN4,111.17,125.20,110.41,158.92
P25536,106.87,106.86,154.18,119.28
P76108,112.19,110.78,160.74,149.93
P64429,87.81,78.35,136.17,118.33
P0AFD4,179.64,41.22,473.52,180.88
P0AA91,112.61,89.59,142.95,108.65
P0AG40,117.39,92.52,145.72,120.04
P0ADT2,138.10,120.10,221.83,120.77
P0AEX5,88.70,100.98,57.75,123.20
P31455,49.80,73.68,48.33,81.34
P06616,171.76,97.93,244.83,126.40
P0A8I1,104.99,76.12,119.86,84.31
P0A959,54.81,100.72,78.04,128.26
P77791,435.09,47.31,404.91,72.68
P12295,121.37,89.72,105.17,100.18
P67826,91.39,68.35,85.86,73.57
P0AFX9,72.94,80.34,58.79,72.02
P0ACB4,88.06,56.95,130.14,76.90
Q47147,67.91,68.56,70.40,74.09
P0AFJ1,226.70,98.88,227.59,66.89
P76014,48.33,38.06,40.60,22.95
P0AFH6,93.21,447.18,20.85,43.10
P0AFB5,10.21,54.17,9.65,48.79
P76550,148.29,71.86,113.54,69.42
P08373,50.72,55.97,103.01,54.27
P77775,43.53,38.90,31.25,41.89
P77293,122.46,37.38,133.65,136.92
P31134,4.45,42.63,1.51,263.17
P39280,61.74,55.04,59.49,54.25
P0A8I8,90.78,54.02,120.34,79.47
P0CE60,139.99,91.11,48.31,26.53
P75777,74.80,38.89,46.80,39.50
P24205,59.08,30.30,90.74,57.22
P0AEA8,52.13,41.79,66.72,83.55
P43671,79.09,31.76,148.77,88.57
P0ACR4,54.48,35.33,68.24,31.68
P45800,66.42,34.77,112.25,80.58
P36999,67.07,38.53,57.70,50.32
P0ABW9,207.01,128.35,586.37,363.57
P16926,62.47,44.30,49.98,45.47
P60720,45.72,45.35,62.70,50.83
P37751,60.75,30.77,7.12,10.24
P64612,26.05,31.41,56.84,57.45
P64636,93.11,44.22,102.61,83.95
P46118,112.78,38.37,79.00,50.41
P07364,121.00,66.97,187.17,168.87
P76291,58.38,32.69,120.97,60.81
P20966,60.46,14.26,131.75,49.97
P37692,76.44,44.31,89.08,37.67
P08395,26.34,16.02,42.71,54.35
P75954,21.64,24.43,40.74,148.96
P07762,21.20,26.04,20.65,25.85
P0A9S5,118.85,56.04,23.35,11.22
P62554,148.38,25.99,552.96,592.51
P75936,2367.15,720.16,1800.53,877.12
P0A6S3,43.48,14.68,58.02,48.75
P39160,151.51,22.61,98.81,35.11
P75867,86.08,32.10,85.01,54.27
P10441,49.47,24.24,43.49,27.97
P0CG19,47.78,27.68,148.30,102.48
P23522,667.20,29.24,206.02,24.97
P24178,64.96,19.57,77.58,20.38
P0ABX5,574.96,251.43,688.74,381.56
P16095,144.80,18.63,191.05,21.49
P0AFL6,13.08,8.27,18.91,18.23
P15028,453.86,19.45,875.11,23.63
P76115,30.78,7.95,86.21,10.03
P39187,168.61,11.23,199.61,15.48
P39452,12.06,9.27,8.45,28.17
P39321,14.65,8.19,29.94,14.28
P06993,8.40,4.55,8.48,12.57
P77338,9.15,5.12,12.17,10.23
P0AES2,60.05,2.64,6.28,3.14
Q46939,15.89,2.23,23.69,6.05
P0AC05,63.40,34.73,96.54,87.98
P0ADZ7,8049.10,6020.78,7649.11,6684.91
P77717,766.04,1322.25,454.62,423.16
